3 to 3090,,Channel 1,,,,
Date,Time,Voltage (V),Conc. CO2 (ppm),Time Elapsed,Discharge,Mol CO2
6/13/2019,12:25:48 PM,0.603,6030,1685,,
6/13/2019,12:25:53 PM,0.6025,6025,1690,,
6/13/2019,12:25:58 PM,0.602,6020,1695,,
6/13/2019,12:26:03 PM,0.6005,6005,1700,,
6/13/2019,12:26:08 PM,0.601,6010,1705,,
6/13/2019,12:26:13 PM,0.602,6020,1710,,
6/13/2019,12:26:18 PM,0.6025,6025,1715,,
6/13/2019,12:26:23 PM,0.6025,6025,1720,,
6/13/2019,12:26:28 PM,0.602,6020,1725,,
6/13/2019,12:26:33 PM,0.6015,6015,1730,,
6/13/2019,12:26:38 PM,0.6005,6005,1735,,
6/13/2019,12:26:43 PM,0.601,6010,1740,,
6/13/2019,12:26:48 PM,0.601,6010,1745,,
6/13/2019,12:26:53 PM,0.6015,6015,1750,,
6/13/2019,12:26:58 PM,0.601,6010,1755,,
6/13/2019,12:27:03 PM,0.601,6010,1760,,
6/13/2019,12:27:08 PM,0.6015,6015,1765,,
6/13/2019,12:27:13 PM,0.603,6030,1770,,
6/13/2019,12:27:18 PM,0.603,6030,1775,,
6/13/2019,12:27:23 PM,0.602,6020,1780,,
6/13/2019,12:27:28 PM,0.6015,6015,1785,,
6/13/2019,12:27:33 PM,0.6015,6015,1790,,
6/13/2019,12:27:38 PM,0.6015,6015,1795,,
6/13/2019,12:27:43 PM,0.602,6020,1800,,
6/13/2019,12:27:48 PM,0.6015,6015,1805,,
6/13/2019,12:27:53 PM,0.6005,6005,1810,,
6/13/2019,12:27:58 PM,0.598,5980,1815,,
6/13/2019,12:28:03 PM,0.5965,5965,1820,,
6/13/2019,12:28:08 PM,0.5975,5975,1825,,
6/13/2019,12:28:13 PM,0.599,5990,1830,,
6/13/2019,12:28:18 PM,0.6005,6005,1835,,
6/13/2019,12:28:23 PM,0.601,6010,1840,,
6/13/2019,12:28:28 PM,0.601,6010,1845,,
6/13/2019,12:28:33 PM,0.6,6000,1850,,
6/13/2019,12:28:38 PM,0.5985,5985,1855,,
6/13/2019,12:28:43 PM,0.597,5970,1860,,
6/13/2019,12:28:48 PM,0.597,5970,1865,,
6/13/2019,12:28:53 PM,0.5965,5965,1870,,
6/13/2019,12:28:58 PM,0.5965,5965,1875,,
6/13/2019,12:29:03 PM,0.597,5970,1880,,
6/13/2019,12:29:08 PM,0.5985,5985,1885,,
6/13/2019,12:29:13 PM,0.5995,5995,1890,,
6/13/2019,12:29:18 PM,0.599,5990,1895,,
6/13/2019,12:29:23 PM,0.5985,5985,1900,,
