"Plot Title: DO_2"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20645540, SEN S/N: 20645540)","Temp, °C (LGR S/N: 20645540, SEN S/N: 20645540)","Coupler Attached (LGR S/N: 20645540)","Host Connected (LGR S/N: 20645540)","Stopped (LGR S/N: 20645540)","End Of File (LGR S/N: 20645540)"
158,07/12/19 03:22:00 PM,5.72,13.68,,,,
159,07/12/19 03:23:00 PM,5.72,13.68,,,,
160,07/12/19 03:24:00 PM,5.73,13.68,,,,
161,07/12/19 03:25:00 PM,5.73,13.68,,,,
162,07/12/19 03:26:00 PM,5.73,13.68,,,,
163,07/12/19 03:27:00 PM,5.74,13.68,,,,
164,07/12/19 03:28:00 PM,5.74,13.70,,,,
165,07/12/19 03:29:00 PM,5.73,13.70,,,,
166,07/12/19 03:30:00 PM,5.73,13.70,,,,
167,07/12/19 03:31:00 PM,5.73,13.72,,,,
168,07/12/19 03:32:00 PM,5.73,13.72,,,,
169,07/12/19 03:33:00 PM,5.72,13.72,,,,
170,07/12/19 03:34:00 PM,5.71,13.72,,,,
171,07/12/19 03:35:00 PM,5.70,13.72,,,,
172,07/12/19 03:36:00 PM,5.70,13.72,,,,
173,07/12/19 03:37:00 PM,5.71,13.72,,,,
174,07/12/19 03:38:00 PM,5.70,13.72,,,,
175,07/12/19 03:39:00 PM,5.70,13.72,,,,
176,07/12/19 03:40:00 PM,5.69,13.72,,,,
177,07/12/19 03:41:00 PM,5.69,13.70,,,,
178,07/12/19 03:42:00 PM,5.68,13.70,,,,
179,07/12/19 03:43:00 PM,5.68,13.68,,,,
180,07/12/19 03:44:00 PM,5.67,13.68,,,,
181,07/12/19 03:45:00 PM,5.67,13.66,,,,
182,07/12/19 03:46:00 PM,5.66,13.66,,,,
183,07/12/19 03:47:00 PM,5.66,13.64,,,,
184,07/12/19 03:48:00 PM,5.66,13.64,,,,
185,07/12/19 03:49:00 PM,5.65,13.62,,,,
186,07/12/19 03:50:00 PM,5.64,13.62,,,,
187,07/12/19 03:51:00 PM,5.64,13.60,,,,
188,07/12/19 03:52:00 PM,5.64,13.58,,,,
189,07/12/19 03:53:00 PM,5.64,13.58,,,,
190,07/12/19 03:54:00 PM,5.65,13.56,,,,
191,07/12/19 03:55:00 PM,5.65,13.56,,,,
192,07/12/19 03:56:00 PM,5.64,13.54,,,,
193,07/12/19 03:57:00 PM,5.64,13.54,,,,
194,07/12/19 03:58:00 PM,5.64,13.52,,,,
195,07/12/19 03:59:00 PM,5.63,13.52,,,,
196,07/12/19 04:00:00 PM,5.63,13.50,,,,
197,07/12/19 04:01:00 PM,5.62,13.50,,,,
198,07/12/19 04:02:00 PM,5.62,13.48,,,,
199,07/12/19 04:03:00 PM,5.61,13.46,,,,
200,07/12/19 04:04:00 PM,5.58,13.46,,,,
201,07/12/19 04:05:00 PM,5.57,13.44,,,,
202,07/12/19 04:06:00 PM,5.57,13.42,,,,
203,07/12/19 04:07:00 PM,5.59,13.42,,,,
204,07/12/19 04:08:00 PM,5.61,13.40,,,,
205,07/12/19 04:09:00 PM,5.61,13.40,,,,
206,07/12/19 04:10:00 PM,5.62,13.40,,,,
207,07/12/19 04:11:00 PM,5.62,13.40,,,,
208,07/12/19 04:12:00 PM,5.61,13.38,,,,
209,07/12/19 04:13:00 PM,5.61,13.38,,,,
210,07/12/19 04:14:00 PM,5.61,13.38,,,,
211,07/12/19 04:15:00 PM,5.61,13.36,,,,
212,07/12/19 04:16:00 PM,5.61,13.36,,,,
213,07/12/19 04:17:00 PM,5.59,13.36,,,,
214,07/12/19 04:18:00 PM,5.59,13.36,,,,
215,07/12/19 04:19:00 PM,5.59,13.34,,,,
216,07/12/19 04:20:00 PM,5.58,13.34,,,,
217,07/12/19 04:21:00 PM,5.58,13.32,,,,
218,07/12/19 04:22:00 PM,5.57,13.32,,,,
219,07/12/19 04:23:00 PM,5.58,13.30,,,,
220,07/12/19 04:23:12 PM,,,Logged,,,
221,07/12/19 04:23:20 PM,,,,Logged,,
222,07/12/19 04:23:23 PM,,,,,Logged,Logged
