Date,Time,Voltage (V)
6/13/2019,11:39:26 AM,0.6035
6/13/2019,11:39:31 AM,0.6035
6/13/2019,11:39:36 AM,0.603
6/13/2019,11:39:41 AM,0.6025
6/13/2019,11:39:46 AM,0.6025
6/13/2019,11:39:51 AM,0.6025
6/13/2019,11:39:56 AM,0.6035
6/13/2019,11:40:01 AM,0.604
6/13/2019,11:40:06 AM,0.604
6/13/2019,11:40:11 AM,0.604
6/13/2019,11:40:16 AM,0.6035
6/13/2019,11:40:21 AM,0.6035
6/13/2019,11:40:26 AM,0.604
6/13/2019,11:40:31 AM,0.605
6/13/2019,11:40:36 AM,0.6065
6/13/2019,11:40:41 AM,0.608
6/13/2019,11:40:46 AM,0.61
6/13/2019,11:40:51 AM,0.6105
6/13/2019,11:40:56 AM,0.611
6/13/2019,11:41:01 AM,0.6105
6/13/2019,11:41:06 AM,0.612
6/13/2019,11:41:11 AM,0.6135
6/13/2019,11:41:16 AM,0.614
6/13/2019,11:41:21 AM,0.6135
6/13/2019,11:41:26 AM,0.6125
6/13/2019,11:41:31 AM,0.6115
6/13/2019,11:41:36 AM,0.6105
6/13/2019,11:41:41 AM,0.609
6/13/2019,11:41:46 AM,0.608
6/13/2019,11:41:51 AM,0.608
6/13/2019,11:41:56 AM,0.608
6/13/2019,11:42:01 AM,0.608
6/13/2019,11:42:06 AM,0.6095
6/13/2019,11:42:11 AM,0.6115
6/13/2019,11:42:16 AM,0.612
6/13/2019,11:42:21 AM,0.6105
6/13/2019,11:42:26 AM,0.6095
6/13/2019,11:42:31 AM,0.6085
6/13/2019,11:42:36 AM,0.609
6/13/2019,11:42:41 AM,0.609
6/13/2019,11:42:46 AM,0.6085
6/13/2019,11:42:51 AM,0.609
6/13/2019,11:42:56 AM,0.611
6/13/2019,11:43:01 AM,0.612
6/13/2019,11:43:06 AM,0.613
6/13/2019,11:43:11 AM,0.6125
6/13/2019,11:43:16 AM,0.6115
6/13/2019,11:43:21 AM,0.6115
6/13/2019,11:43:26 AM,0.6115
6/13/2019,11:43:31 AM,0.6115
6/13/2019,11:43:36 AM,0.611
6/13/2019,11:43:41 AM,0.6095
6/13/2019,11:43:46 AM,0.6095
6/13/2019,11:43:51 AM,0.6105
6/13/2019,11:43:56 AM,0.611
6/13/2019,11:44:01 AM,0.611
6/13/2019,11:44:06 AM,0.6105
6/13/2019,11:44:11 AM,0.6115
6/13/2019,11:44:16 AM,0.612
6/13/2019,11:44:21 AM,0.6125
6/13/2019,11:44:26 AM,0.6135
6/13/2019,11:44:31 AM,0.6155
6/13/2019,11:44:36 AM,0.616
6/13/2019,11:44:41 AM,0.616
6/13/2019,11:44:46 AM,0.616
6/13/2019,11:44:51 AM,0.616
6/13/2019,11:44:56 AM,0.6165
6/13/2019,11:45:01 AM,0.617
6/13/2019,11:45:06 AM,0.6175
6/13/2019,11:45:11 AM,0.618
6/13/2019,11:45:16 AM,0.618
6/13/2019,11:45:21 AM,0.618
