"","DATE","TIME","X12CO2","Delta_Raw_iCO2"
"215","2019-07-17","14:51:52.105",431.7647779,-8.0592696984
"216","2019-07-17","14:51:52.625",431.7647779,-9.3391334828
"217","2019-07-17","14:51:53.858",431.7647779,-9.3391334828
"218","2019-07-17","14:51:55.071",431.7647779,-9.3391334828
"219","2019-07-17","14:51:55.617",432.00586125,-9.3391334828
"220","2019-07-17","14:51:56.148",432.00586125,-9.8288687645
"221","2019-07-17","14:51:57.362",432.00586125,-9.8288687645
"222","2019-07-17","14:51:58.571",432.00586125,-9.8288687645
"223","2019-07-17","14:51:59.112",432.32641331,-9.8288687645
"224","2019-07-17","14:51:59.630",432.32641331,-8.948959044
"225","2019-07-17","14:52:00.841",432.32641331,-8.948959044
"226","2019-07-17","14:52:02.039",432.32641331,-8.948959044
"227","2019-07-17","14:52:02.585",432.27868602,-8.948959044
"228","2019-07-17","14:52:03.117",432.27868602,-9.9628714584
"229","2019-07-17","14:52:04.332",432.27868602,-9.9628714584
"230","2019-07-17","14:52:05.538",432.27868602,-9.9628714584
"231","2019-07-17","14:52:06.081",431.93408206,-9.9628714584
"232","2019-07-17","14:52:06.605",431.93408206,-8.6273434065
"233","2019-07-17","14:52:07.823",431.93408206,-8.6273434065
"234","2019-07-17","14:52:09.033",431.93408206,-8.6273434065
"235","2019-07-17","14:52:09.591",432.8904194,-8.6273434065
"236","2019-07-17","14:52:10.128",432.8904194,-10.369241412
"237","2019-07-17","14:52:11.342",432.8904194,-10.369241412
"238","2019-07-17","14:52:12.546",432.8904194,-10.369241412
"239","2019-07-17","14:52:13.099",432.80830232,-10.369241412
"240","2019-07-17","14:52:13.628",432.80830232,-7.9423792946
"241","2019-07-17","14:52:14.855",432.80830232,-7.9423792946
"242","2019-07-17","14:52:16.063",432.80830232,-7.9423792946
"243","2019-07-17","14:52:16.618",432.86653913,-7.9423792946
"244","2019-07-17","14:52:17.150",432.86653913,-9.0206092284
"245","2019-07-17","14:52:18.369",432.86653913,-9.0206092284
"246","2019-07-17","14:52:19.588",432.86653913,-9.0206092284
"247","2019-07-17","14:52:20.111",432.89275265,-9.0206092284
"248","2019-07-17","14:52:20.621",432.89275265,-7.0962138276
"249","2019-07-17","14:52:21.838",432.89275265,-7.0962138276
"250","2019-07-17","14:52:23.051",432.89275265,-7.0962138276
"251","2019-07-17","14:52:23.608",432.89327806,-7.0962138276
"252","2019-07-17","14:52:24.154",432.89327806,-7.3077209035
"253","2019-07-17","14:52:25.371",432.89327806,-7.3077209035
"254","2019-07-17","14:52:26.566",432.89327806,-7.3077209035
"255","2019-07-17","14:52:27.098",433.26282607,-7.3077209035
"256","2019-07-17","14:52:27.619",433.26282607,-7.5694185632
"257","2019-07-17","14:52:28.842",433.26282607,-7.5694185632
"258","2019-07-17","14:52:30.039",433.26282607,-7.5694185632
"259","2019-07-17","14:52:30.586",433.39511461,-7.5694185632
"260","2019-07-17","14:52:31.119",433.39511461,-9.053706192
"261","2019-07-17","14:52:32.338",433.39511461,-9.053706192
"262","2019-07-17","14:52:33.549",433.39511461,-9.053706192
"263","2019-07-17","14:52:34.092",433.18845193,-9.053706192
"264","2019-07-17","14:52:34.624",433.18845193,-6.9335187015
"265","2019-07-17","14:52:35.839",433.18845193,-6.9335187015
"266","2019-07-17","14:52:37.052",433.18845193,-6.9335187015
"267","2019-07-17","14:52:37.598",433.64806533,-6.9335187015
"268","2019-07-17","14:52:38.125",433.64806533,-7.5793052948
"269","2019-07-17","14:52:39.351",433.64806533,-7.5793052948
"270","2019-07-17","14:52:40.559",433.64806533,-7.5793052948
"271","2019-07-17","14:52:41.105",433.06956101,-7.5793052948
"272","2019-07-17","14:52:41.624",433.06956101,-8.7759120579
"273","2019-07-17","14:52:42.848",433.06956101,-8.7759120579
"274","2019-07-17","14:52:44.065",433.06956101,-8.7759120579
"275","2019-07-17","14:52:44.614",433.41274534,-8.7759120579
"276","2019-07-17","14:52:45.161",433.41274534,-11.449065278
"277","2019-07-17","14:52:46.375",433.41274534,-11.449065278
"278","2019-07-17","14:52:47.576",433.41274534,-11.449065278
"279","2019-07-17","14:52:48.108",433.56901448,-11.449065278
"280","2019-07-17","14:52:48.628",433.56901448,-7.6831966786
"281","2019-07-17","14:52:49.845",433.56901448,-7.6831966786
"282","2019-07-17","14:52:51.055",433.56901448,-7.6831966786
"283","2019-07-17","14:52:51.605",433.7249988,-7.6831966786
"284","2019-07-17","14:52:52.142",433.7249988,-8.4400172362
"285","2019-07-17","14:52:53.362",433.7249988,-8.4400172362
"286","2019-07-17","14:52:54.572",433.7249988,-8.4400172362
"287","2019-07-17","14:52:55.108",433.34213058,-8.4400172362
"288","2019-07-17","14:52:55.630",433.34213058,-7.3210375692
"289","2019-07-17","14:52:56.851",433.34213058,-7.3210375692
"290","2019-07-17","14:52:58.071",433.34213058,-7.3210375692
"291","2019-07-17","14:52:58.617",433.35167323,-7.3210375692
"292","2019-07-17","14:52:59.147",433.35167323,-10.665954649
"293","2019-07-17","14:53:00.371",433.35167323,-10.665954649
"294","2019-07-17","14:53:01.573",433.35167323,-10.665954649
"295","2019-07-17","14:53:02.102",433.29007174,-10.665954649
"296","2019-07-17","14:53:02.625",433.29007174,-11.649671992
"297","2019-07-17","14:53:03.851",433.29007174,-11.649671992
"298","2019-07-17","14:53:05.055",433.29007174,-11.649671992
"299","2019-07-17","14:53:05.601",432.71325389,-11.649671992
"300","2019-07-17","14:53:06.141",432.71325389,-8.9037453916
"301","2019-07-17","14:53:07.364",432.71325389,-8.9037453916
"302","2019-07-17","14:53:08.578",432.71325389,-8.9037453916
"303","2019-07-17","14:53:09.111",432.46257124,-8.9037453916
"304","2019-07-17","14:53:09.627",432.46257124,-10.074734335
"305","2019-07-17","14:53:10.848",432.46257124,-10.074734335
"306","2019-07-17","14:53:12.066",432.46257124,-10.074734335
"307","2019-07-17","14:53:12.615",432.7087913,-10.074734335
"308","2019-07-17","14:53:13.148",432.7087913,-13.215914909
"309","2019-07-17","14:53:14.355",432.7087913,-13.215914909
"310","2019-07-17","14:53:15.552",432.7087913,-13.215914909
"311","2019-07-17","14:53:16.098",432.13910993,-13.215914909
"312","2019-07-17","14:53:16.625",432.13910993,-7.6496794115
"313","2019-07-17","14:53:17.848",432.13910993,-7.6496794115
"314","2019-07-17","14:53:19.058",432.13910993,-7.6496794115
"315","2019-07-17","14:53:19.599",432.66298472,-7.6496794115
"316","2019-07-17","14:53:20.131",432.66298472,-9.9182762707
"317","2019-07-17","14:53:21.358",432.66298472,-9.9182762707
"318","2019-07-17","14:53:22.572",432.66298472,-9.9182762707
"319","2019-07-17","14:53:23.108",432.31063431,-9.9182762707
"320","2019-07-17","14:53:23.621",432.31063431,-10.945757014
"321","2019-07-17","14:53:24.836",432.31063431,-10.945757014
"322","2019-07-17","14:53:26.045",432.31063431,-10.945757014
"323","2019-07-17","14:53:26.601",432.1584848,-10.945757014
"324","2019-07-17","14:53:27.134",432.1584848,-7.6970427765
"325","2019-07-17","14:53:28.351",432.1584848,-7.6970427765
"326","2019-07-17","14:53:29.549",432.1584848,-7.6970427765
"327","2019-07-17","14:53:30.091",432.34763182,-7.6970427765
"328","2019-07-17","14:53:30.618",432.34763182,-5.9837447741
"329","2019-07-17","14:53:31.851",432.34763182,-5.9837447741
"330","2019-07-17","14:53:33.062",432.34763182,-5.9837447741
"331","2019-07-17","14:53:33.618",432.40513454,-5.9837447741
"332","2019-07-17","14:53:34.154",432.40513454,-4.7652738833
"333","2019-07-17","14:53:35.381",432.40513454,-4.7652738833
"334","2019-07-17","14:53:36.598",432.40513454,-4.7652738833
"335","2019-07-17","14:53:37.115",432.63123468,-4.7652738833
"336","2019-07-17","14:53:37.625",432.63123468,-7.4523517049
"337","2019-07-17","14:53:38.845",432.63123468,-7.4523517049
"338","2019-07-17","14:53:40.056",432.63123468,-7.4523517049
"339","2019-07-17","14:53:40.607",432.5132268,-7.4523517049
"340","2019-07-17","14:53:41.144",432.5132268,-9.3215091737
"341","2019-07-17","14:53:42.351",432.5132268,-9.3215091737
"342","2019-07-17","14:53:43.565",432.5132268,-9.3215091737
"343","2019-07-17","14:53:44.108",432.25473944,-9.3215091737
"344","2019-07-17","14:53:44.627",432.25473944,-6.0392523019
"345","2019-07-17","14:53:45.838",432.25473944,-6.0392523019
"346","2019-07-17","14:53:47.042",432.25473944,-6.0392523019
"347","2019-07-17","14:53:47.588",432.38874921,-6.0392523019
"348","2019-07-17","14:53:48.127",432.38874921,-10.304073065
"349","2019-07-17","14:53:49.342",432.38874921,-10.304073065
"350","2019-07-17","14:53:50.552",432.38874921,-10.304073065
"351","2019-07-17","14:53:51.088",432.51026784,-10.304073065
"352","2019-07-17","14:53:51.612",432.51026784,-8.7046708708
"353","2019-07-17","14:53:52.831",432.51026784,-8.7046708708
"354","2019-07-17","14:53:54.049",432.51026784,-8.7046708708
"355","2019-07-17","14:53:54.598",432.16989069,-8.7046708708
"356","2019-07-17","14:53:55.134",432.16989069,-9.8693152774
"357","2019-07-17","14:53:56.352",432.16989069,-9.8693152774
"358","2019-07-17","14:53:57.569",432.16989069,-9.8693152774
"359","2019-07-17","14:53:58.101",432.42093276,-9.8693152774
"360","2019-07-17","14:53:58.634",432.42093276,-11.592878255
"361","2019-07-17","14:53:59.861",432.42093276,-11.592878255
"362","2019-07-17","14:54:01.078",432.42093276,-11.592878255
"363","2019-07-17","14:54:01.625",431.94191523,-11.592878255
"364","2019-07-17","14:54:02.158",431.94191523,-7.6300570985
"365","2019-07-17","14:54:03.394",431.94191523,-7.6300570985
"366","2019-07-17","14:54:04.599",431.94191523,-7.6300570985
"367","2019-07-17","14:54:05.170",432.24143144,-7.6300570985
"368","2019-07-17","14:54:05.703",432.24143144,-8.8528881144
"369","2019-07-17","14:54:06.913",432.24143144,-8.8528881144
"370","2019-07-17","14:54:08.131",432.24143144,-8.8528881144
"371","2019-07-17","14:54:08.690",432.37425363,-8.8528881144
"372","2019-07-17","14:54:09.236",432.37425363,-6.8353409706
"373","2019-07-17","14:54:10.450",432.37425363,-6.8353409706
"374","2019-07-17","14:54:11.654",432.37425363,-6.8353409706
"375","2019-07-17","14:54:12.209",432.60947806,-6.8353409706
"376","2019-07-17","14:54:12.737",432.60947806,-7.648721151
"377","2019-07-17","14:54:13.956",432.60947806,-7.648721151
"378","2019-07-17","14:54:15.167",432.60947806,-7.648721151
"379","2019-07-17","14:54:15.707",432.7751546,-7.648721151
"380","2019-07-17","14:54:16.233",432.7751546,-6.9054625992
"381","2019-07-17","14:54:17.444",432.7751546,-6.9054625992
"382","2019-07-17","14:54:18.661",432.7751546,-6.9054625992
"383","2019-07-17","14:54:19.210",432.89067881,-6.9054625992
"384","2019-07-17","14:54:19.737",432.89067881,-8.6375124257
"385","2019-07-17","14:54:20.953",432.89067881,-8.6375124257
"386","2019-07-17","14:54:22.157",432.89067881,-8.6375124257
"387","2019-07-17","14:54:22.707",432.85691054,-8.6375124257
"388","2019-07-17","14:54:23.227",432.85691054,-6.3030568192
"389","2019-07-17","14:54:24.453",432.85691054,-6.3030568192
"390","2019-07-17","14:54:25.655",432.85691054,-6.3030568192
"391","2019-07-17","14:54:26.210",432.67685122,-6.3030568192
"392","2019-07-17","14:54:26.750",432.67685122,-5.8809435497
"393","2019-07-17","14:54:27.963",432.67685122,-5.8809435497
"394","2019-07-17","14:54:29.167",432.67685122,-5.8809435497
"395","2019-07-17","14:54:29.700",432.9177893,-5.8809435497
"396","2019-07-17","14:54:30.219",432.9177893,-5.7384646262
"397","2019-07-17","14:54:31.453",432.9177893,-5.7384646262
"398","2019-07-17","14:54:32.674",432.9177893,-5.7384646262
"399","2019-07-17","14:54:33.221",432.8164162,-5.7384646262
"400","2019-07-17","14:54:33.763",432.8164162,-9.8819003109
"401","2019-07-17","14:54:34.980",432.8164162,-9.8819003109
"402","2019-07-17","14:54:36.177",432.8164162,-9.8819003109
"403","2019-07-17","14:54:36.706",433.49223522,-9.8819003109
"404","2019-07-17","14:54:37.223",433.49223522,-11.254162786
"405","2019-07-17","14:54:38.451",433.49223522,-11.254162786
"406","2019-07-17","14:54:39.651",433.49223522,-11.254162786
"407","2019-07-17","14:54:40.200",433.17957643,-11.254162786
"408","2019-07-17","14:54:40.740",433.17957643,-9.4753958325
"409","2019-07-17","14:54:41.959",433.17957643,-9.4753958325
"410","2019-07-17","14:54:43.183",433.17957643,-9.4753958325
"411","2019-07-17","14:54:43.711",433.15487481,-9.4753958325
"412","2019-07-17","14:54:44.230",433.15487481,-7.634434101
"413","2019-07-17","14:54:45.453",433.15487481,-7.634434101
"414","2019-07-17","14:54:46.670",433.15487481,-7.634434101
"415","2019-07-17","14:54:47.223",433.32773342,-7.634434101
"416","2019-07-17","14:54:47.750",433.32773342,-6.9079321363
"417","2019-07-17","14:54:48.957",433.32773342,-6.9079321363
"418","2019-07-17","14:54:50.177",433.32773342,-6.9079321363
"419","2019-07-17","14:54:50.713",433.20418886,-6.9079321363
"420","2019-07-17","14:54:51.237",433.20418886,-7.5795552847
"421","2019-07-17","14:54:52.454",433.20418886,-7.5795552847
"422","2019-07-17","14:54:53.653",433.20418886,-7.5795552847
"423","2019-07-17","14:54:54.198",433.35248478,-7.5795552847
"424","2019-07-17","14:54:54.734",433.35248478,-9.9253940853
"425","2019-07-17","14:54:55.959",433.35248478,-9.9253940853
"426","2019-07-17","14:54:57.164",433.35248478,-9.9253940853
"427","2019-07-17","14:54:57.697",433.08025208,-9.9253940853
"428","2019-07-17","14:54:58.221",433.08025208,-10.503753992
"429","2019-07-17","14:54:59.437",433.08025208,-10.503753992
"430","2019-07-17","14:55:00.647",433.08025208,-10.503753992
"431","2019-07-17","14:55:01.203",432.92229353,-10.503753992
"432","2019-07-17","14:55:01.730",432.92229353,-8.2090455075
"433","2019-07-17","14:55:02.950",432.92229353,-8.2090455075
"434","2019-07-17","14:55:04.154",432.92229353,-8.2090455075
"435","2019-07-17","14:55:04.697",433.21655263,-8.2090455075
"436","2019-07-17","14:55:05.223",433.21655263,-8.3041048986
"437","2019-07-17","14:55:06.444",433.21655263,-8.3041048986
