"Plot Title: EC Logger 2"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636127, SEN S/N: 20636127)","Temp, °F (LGR S/N: 20636127, SEN S/N: 20636127)","Coupler Detached (LGR S/N: 20636127)","Coupler Attached (LGR S/N: 20636127)","Host Connected (LGR S/N: 20636127)","Stopped (LGR S/N: 20636127)","End Of File (LGR S/N: 20636127)"
153,07/17/19 03:00:00 AM,7.0,42.04,,,,,
154,07/17/19 03:15:00 AM,7.0,41.99,,,,,
155,07/17/19 03:30:00 AM,7.0,41.92,,,,,
156,07/17/19 03:45:00 AM,7.0,41.88,,,,,
157,07/17/19 04:00:00 AM,7.0,41.81,,,,,
158,07/17/19 04:15:00 AM,7.0,41.76,,,,,
159,07/17/19 04:30:00 AM,7.0,41.68,,,,,
160,07/17/19 04:45:00 AM,7.0,41.65,,,,,
161,07/17/19 05:00:00 AM,7.0,41.59,,,,,
162,07/17/19 05:15:00 AM,7.8,41.52,,,,,
163,07/17/19 05:30:00 AM,7.0,41.45,,,,,
164,07/17/19 05:45:00 AM,7.8,41.34,,,,,
165,07/17/19 06:00:00 AM,7.0,41.31,,,,,
166,07/17/19 06:15:00 AM,7.8,41.29,,,,,
167,07/17/19 06:30:00 AM,7.1,41.23,,,,,
168,07/17/19 06:45:00 AM,7.1,41.27,,,,,
169,07/17/19 07:00:00 AM,7.1,41.22,,,,,
170,07/17/19 07:15:00 AM,7.1,41.29,,,,,
171,07/17/19 07:30:00 AM,7.8,41.36,,,,,
172,07/17/19 07:45:00 AM,7.0,41.45,,,,,
173,07/17/19 08:00:00 AM,7.0,41.59,,,,,
174,07/17/19 08:15:00 AM,7.0,41.67,,,,,
175,07/17/19 08:30:00 AM,7.0,41.81,,,,,
176,07/17/19 08:45:00 AM,7.8,41.95,,,,,
177,07/17/19 09:00:00 AM,7.8,41.97,,,,,
178,07/17/19 09:15:00 AM,7.0,42.12,,,,,
179,07/17/19 09:30:00 AM,7.0,42.24,,,,,
180,07/17/19 09:45:00 AM,7.0,42.55,,,,,
181,07/17/19 10:00:00 AM,7.0,42.89,,,,,
182,07/17/19 10:15:00 AM,7.8,43.20,,,,,
183,07/17/19 10:30:00 AM,7.8,43.45,,,,,
184,07/17/19 10:45:00 AM,7.8,43.63,,,,,
185,07/17/19 11:00:00 AM,7.0,43.93,,,,,
186,07/17/19 11:15:00 AM,7.0,44.22,,,,,
187,07/17/19 11:30:00 AM,7.0,44.89,,,,,
188,07/17/19 11:45:00 AM,7.0,45.59,,,,,
189,07/17/19 12:00:00 PM,7.0,46.24,,,,,
190,07/17/19 12:15:00 PM,7.0,46.60,,,,,
