"","ele","time","magvar","geoidheight","name","cmt","desc","src","link1_href","link1_text","link1_type","link2_href","link2_text","link2_type","sym","type","fix","sat","hdop","vdop","pdop","ageofdgpsdata","dgpsid","geometry"
"46",4086.164062,"2019/07/06 18:19:53+00",NA,NA,"037",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200939, -0.329375)
"47",4086.182129,"2019/07/06 18:20:43+00",NA,NA,"038",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200965, -0.329399)
"48",4083.577637,"2019/07/06 18:21:42+00",NA,NA,"039",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200979, -0.329445)
"49",4086.172607,"2019/07/06 18:23:02+00",NA,NA,"040",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.201001, -0.329466)
"50",4082.473389,"2019/07/06 18:24:12+00",NA,NA,"041",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.201039, -0.32952)
"51",4082.224365,"2019/07/06 18:25:08+00",NA,NA,"042",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.201081, -0.329592)
"52",4081.078369,"2019/07/06 18:26:25+00",NA,NA,"043",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.201158, -0.32969)
"53",4081.356689,"2019/07/06 18:27:28+00",NA,NA,"STREND",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.201235, -0.329764)
"54",3824.846191,"2019/07/06 18:49:09+00",NA,NA,"044",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.222411, -0.326538)
"55",3800.764404,"2019/07/06 18:49:35+00",NA,NA,"045",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.222372, -0.322943)
"56",3785.97876,"2019/07/06 18:50:12+00",NA,NA,"046",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.223326, -0.317386)
"57",3776.587158,"2019/07/06 18:50:32+00",NA,NA,"047",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.225789, -0.31507)
"58",3753.949463,"2019/07/06 18:51:12+00",NA,NA,"048",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.230647, -0.310481)
"59",3751,"2019/07/08 00:29:32+00",NA,NA,"049",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.230936, -0.310083)
"60",3739.480957,"2019/07/06 18:51:21+00",NA,NA,"050",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.23162, -0.309066)
"61",3721.357666,"2019/07/06 18:51:42+00",NA,NA,"051",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.23379, -0.30586)
"62",3720.86792,"2019/07/06 18:51:43+00",NA,NA,"052",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.23393, -0.305695)
