Date,Time,Volts
6/18/2019,11:13:57 AM,0.7015
6/18/2019,11:14:02 AM,0.7045
6/18/2019,11:14:07 AM,0.7055
6/18/2019,11:14:12 AM,0.706
6/18/2019,11:14:17 AM,0.7055
6/18/2019,11:14:22 AM,0.7055
6/18/2019,11:14:27 AM,0.706
6/18/2019,11:14:32 AM,0.7075
6/18/2019,11:14:37 AM,0.7085
6/18/2019,11:14:42 AM,0.7075
6/18/2019,11:14:47 AM,0.706
6/18/2019,11:14:52 AM,0.706
6/18/2019,11:14:57 AM,0.7075
6/18/2019,11:15:02 AM,0.708
6/18/2019,11:15:07 AM,0.7075
6/18/2019,11:15:12 AM,0.7065
6/18/2019,11:15:17 AM,0.705
6/18/2019,11:15:22 AM,0.7045
6/18/2019,11:15:27 AM,0.705
6/18/2019,11:15:32 AM,0.708
6/18/2019,11:15:37 AM,0.71
6/18/2019,11:15:42 AM,0.7125
6/18/2019,11:15:47 AM,0.7125
6/18/2019,11:15:52 AM,0.712
6/18/2019,11:15:57 AM,0.711
6/18/2019,11:16:02 AM,0.71
6/18/2019,11:16:07 AM,0.7095
6/18/2019,11:16:12 AM,0.7105
6/18/2019,11:16:17 AM,0.7115
6/18/2019,11:16:22 AM,0.7135
6/18/2019,11:16:27 AM,0.715
6/18/2019,11:16:32 AM,0.7155
6/18/2019,11:16:37 AM,0.715
6/18/2019,11:16:42 AM,0.714
6/18/2019,11:16:47 AM,0.7135
6/18/2019,11:16:52 AM,0.714
6/18/2019,11:16:57 AM,0.7145
6/18/2019,11:17:02 AM,0.7145
6/18/2019,11:17:07 AM,0.714
6/18/2019,11:17:12 AM,0.714
6/18/2019,11:17:17 AM,0.7145
6/18/2019,11:17:22 AM,0.7135
6/18/2019,11:17:27 AM,0.7125
6/18/2019,11:17:32 AM,0.712
6/18/2019,11:17:37 AM,0.713
6/18/2019,11:17:42 AM,0.7145
6/18/2019,11:17:47 AM,0.716
6/18/2019,11:17:52 AM,0.7165
6/18/2019,11:17:57 AM,0.7165
6/18/2019,11:18:02 AM,0.7155
6/18/2019,11:18:07 AM,0.716
6/18/2019,11:18:12 AM,0.716
6/18/2019,11:18:17 AM,0.717
6/18/2019,11:18:22 AM,0.7165
6/18/2019,11:18:27 AM,0.7165
6/18/2019,11:18:32 AM,0.716
6/18/2019,11:18:37 AM,0.716
6/18/2019,11:18:42 AM,0.7155
