Time,VB1,VB2,VB3,VB4
12:36:00,0.2825,147.7,0.251,0.0575
12:37:00,0.283,148.6,0.252,0.002
12:38:00,0.283,146.8,0.249,0.002
12:39:00,0.283,146.9,0.249,0.002
12:40:00,0.2825,147.2,0.251,0.002
12:41:00,0.283,147.3,0.249,0.002
12:42:00,0.285,146.1,0.2475,0.002
12:43:00,0.284,146.7,0.2475,0.002
12:44:00,0.2845,147.1,0.2505,0.002
12:45:00,0.2825,147,0.2505,0.002
12:46:00,0.2835,147.5,0.2515,0.002
12:47:00,0.288,146.9,0.25,0.002
12:48:00,0.286,146.6,0.252,0.002
12:49:00,0.285,147.3,0.253,0.002
12:50:00,0.2875,150.2,0.252,0.002
12:51:00,0.287,164.9,0.254,0.002
12:52:00,0.2865,180.7,0.2525,0.002
12:53:00,0.286,203.3,0.2515,0.002
12:54:00,0.286,224.8,0.252,0.002
12:55:00,0.2875,246,0.2525,0.002
12:56:00,0.288,253.2,0.2515,0.002
12:57:00,0.2865,257.7,0.253,0.002
12:58:00,0.286,261.9,0.254,0.002
12:59:00,0.288,263.3,0.252,0.002
13:00:00,0.287,269.4,0.2525,0.002
13:01:00,0.2875,271.8,0.255,0.002
13:02:00,0.29,271.3,0.2535,0.002
13:03:00,0.287,271.8,0.2525,0.002
13:04:00,0.289,274.1,0.2535,0.002
13:05:00,0.288,275.6,0.253,0.002
13:06:00,0.287,273.5,0.2545,0.002
13:07:00,0.2885,274.3,0.253,0.002
13:08:00,0.2865,276.9,0.254,0.002
13:09:00,0.287,274.9,0.255,0.002
13:10:00,0.289,277.6,0.2555,0.002
13:11:00,0.2895,279,0.2535,0.002
13:12:00,0.288,277,0.2525,0.002
13:13:00,0.2865,278.1,0.254,0.002
13:14:00,0.2875,276,0.254,0.002
13:15:00,0.288,278.1,0.253,0.002
13:16:00,0.2885,278.5,0.255,0.002
13:17:00,0.287,276.5,0.253,0.002
13:18:00,0.2885,275.7,0.2535,0.002
13:19:00,0.289,278,0.253,0.002
13:20:00,0.289,281.4,0.2545,0.002
13:21:00,0.2885,279.1,0.2535,0.002
13:22:00,0.2905,280.5,0.2545,0.002
13:23:00,0.2895,281.3,0.2545,0.002
13:24:00,0.2885,280.5,0.2555,0.002
13:25:00,0.2875,280.4,0.255,0.002
13:26:00,0.2885,281.8,0.2545,0.002
13:27:00,0.2885,281.9,0.256,0.002
13:28:00,0.2875,285.3,0.2545,0.002
13:29:00,0.2875,283.5,0.2545,0.002
13:30:00,0.29,284.6,0.254,0.002
13:31:00,0.289,281.3,0.2555,0.002
13:32:00,0.2885,282.8,0.254,0.002
13:33:00,0.2895,283.5,0.2535,0.002
13:34:00,0.289,282.2,0.2555,0.002
13:35:00,0.291,281.6,0.255,0.002
13:36:00,0.2885,285.6,0.254,0.002
13:37:00,0.291,284.8,0.2535,0.002
13:38:00,0.2905,285.6,0.256,0.002
13:39:00,0.288,282.6,0.256,0.002
13:40:00,0.291,285.5,0.256,0.002
13:41:00,0.294,283.3,0.256,0.002
13:42:00,0.2905,282.2,0.2555,0.002
13:43:00,0.2885,283,0.2555,0.002
13:44:00,0.292,284.8,0.256,0.002
13:45:00,0.29,283.4,0.2565,0.002
13:46:00,0.2915,285.1,0.258,0.002
13:47:00,0.287,283.7,0.255,0.002
13:48:00,0.2605,284.1,0.2565,0.002
13:49:00,0.2305,285.2,0.2575,0.002
13:50:00,0.2085,284.1,0.2565,0.002
13:51:00,0.194,284.2,0.2545,0.002
13:52:00,0.191,286,0.2495,0.002
13:53:00,0.1815,284.9,0.242,0.002
13:54:00,0.1725,284.8,0.2305,0.002
13:55:00,0.1625,284.3,0.2155,0.002
13:56:00,0.1565,284.4,0.2065,0.002
13:57:00,0.1505,285.9,0.1975,0.002
13:58:00,,286.7,0.1915,0.002
13:59:00,,285.3,0.1835,0.002
14:00:00,,287.6,0.174,0.002
14:01:00,,288.1,0.1685,0.002
14:02:00,,288.8,0.1625,0.002
14:03:00,,288,0.1585,0.002
14:04:00,,287.1,0.1555,0.002
14:05:00,,286.6,0.1505,0.002
14:06:00,,285.6,0.1495,0.002
14:07:00,,287.6,,0.002
14:08:00,,285.9,,0.002
14:09:00,,286.3,,0.002
14:10:00,,287.7,,0.002
14:11:00,,289.1,,0.002
14:12:00,,286.8,,0.002
14:13:00,,290.7,,0.002
14:14:00,,286.8,,0.002
14:15:00,0.133,286,0.136,0.002
14:16:00,,286.5,,0.049
14:17:00,,287,,
14:18:00,,287.1,,
14:19:00,,288.5,,
14:20:00,,290,,
14:21:00,,287.6,,
14:22:00,,289.3,,
14:23:00,,288.5,,
14:24:00,,288.7,,
14:25:00,,286.6,,
14:26:00,,289.3,,
14:27:00,,287,,
14:28:00,,287,,
14:29:00,,287.1,,
14:30:00,0.131,286.9,0.1295,0.057
14:31:00,,288,,
14:32:00,,288.5,,
14:33:00,,286.5,,
14:34:00,,286.6,,
14:35:00,,287.4,,
14:36:00,,286.3,,
14:37:00,,289,,
14:38:00,,288.5,,
14:39:00,,288.3,,
14:40:00,,288.8,,
14:41:00,,289.9,,
14:42:00,,291,,
14:43:00,,288.5,,
14:44:00,,289.1,,
14:45:00,0.132,290.8,0.1275,0.0555
14:46:00,,286.3,,
14:47:00,,290.5,,
14:48:00,,291,,
14:49:00,,285.5,,
14:50:00,,256.2,,
14:51:00,,227.3,,
14:52:00,,203.7,,
14:53:00,,191.3,,
14:54:00,,186.4,,
14:55:00,,178.2,,
14:56:00,,170.4,,
14:57:00,,161.5,,
14:58:00,,156.1,,
14:59:00,,151.5,,
15:00:00,0.131,147.2,0.1275,0.057
