0,Temp,SpCond,Time lapse,Wdt Trap,Hgt Trap,Int,Sum,Discharge,,,,R- 17628.5
299.886g,,,,,,,,,,,,
7/15/2019 14:14,6.03,121,167,1,121,121,,,,,,
7/15/2019 14:14,6.03,121,168,1,121.5,121.5,,,,,,
7/15/2019 14:14,6.03,122,169,1,122,122,,,,,,
7/15/2019 14:14,6.03,122,170,1,122,122,,,,,,
7/15/2019 14:14,6.03,122,171,1,122.5,122.5,,,,,,
7/15/2019 14:14,6.04,123,172,1,123,123,,,,,,
7/15/2019 14:14,6.03,123,173,1,122.5,122.5,,,,,,
7/15/2019 14:14,6.04,122,174,1,122,122,,,,,,
7/15/2019 14:14,6.04,122,175,1,122,122,,,,,,
7/15/2019 14:14,6.04,122,176,1,122,122,,,,,,
7/15/2019 14:14,6.04,122,177,1,122,122,,,,,,
7/15/2019 14:14,6.04,122,178,1,122,122,,,,,,
7/15/2019 14:14,6.04,122,179,1,122,122,,,,,,
7/15/2019 14:14,6.04,122,180,1,121.5,121.5,,,,,,
7/15/2019 14:14,6.04,121,181,1,121,121,,,,,,
7/15/2019 14:14,6.04,121,182,1,121,121,,,,,,
7/15/2019 14:14,6.04,121,183,1,121,121,,,,,,
7/15/2019 14:14,6.04,121,184,1,121,121,,,,,,
7/15/2019 14:14,6.04,121,185,1,121.5,121.5,,,,,,
7/15/2019 14:14,6.04,122,186,1,122,122,,,,,,
7/15/2019 14:14,6.04,122,187,1,122,122,,,,,,
7/15/2019 14:14,6.04,122,188,1,122,122,,,,,,
7/15/2019 14:14,6.04,122,189,1,122,122,,,,,,
7/15/2019 14:14,6.04,122,190,1,122,122,,,,,,
7/15/2019 14:14,6.04,122,191,1,122.5,122.5,,,,,,
7/15/2019 14:14,6.04,123,192,1,123,123,,,,,,
7/15/2019 14:15,6.04,123,193,1,123,123,,,,,,
7/15/2019 14:15,6.04,123,194,1,123,123,,,,,,
7/15/2019 14:15,6.04,123,195,1,123,123,,,,,,
7/15/2019 14:15,6.04,123,196,1,123,123,,,,,,
7/15/2019 14:15,6.04,123,197,1,123,123,,,,,,
7/15/2019 14:15,6.04,123,198,1,122.5,122.5,,,,,,
7/15/2019 14:15,6.04,122,199,1,122,122,,,,,,
7/15/2019 14:15,6.04,122,200,1,122,122,,,,,,
7/15/2019 14:15,6.04,122,201,1,122,122,,,,,,
7/15/2019 14:15,6.04,122,202,1,122,122,,,,,,
7/15/2019 14:15,6.04,122,203,1,122,122,,,,,,
7/15/2019 14:15,6.04,122,204,1,122.5,122.5,,,,,,
7/15/2019 14:15,6.04,123,205,1,123,123,,,,,,
7/15/2019 14:15,6.04,123,206,1,123,123,,,,,,
7/15/2019 14:15,6.04,123,207,1,123,123,,,,,,
7/15/2019 14:15,6.04,123,208,1,123,123,,,,,,
7/15/2019 14:15,6.04,123,209,1,123,123,,,,,,
7/15/2019 14:15,6.04,123,210,1,123,123,,,,,,
7/15/2019 14:15,6.04,123,211,1,123,123,,,,,,
7/15/2019 14:15,6.04,123,212,1,123,123,,,,,,
7/15/2019 14:15,6.04,123,213,1,123,123,,,,,,
7/15/2019 14:15,6.04,123,214,1,123,123,,,,,,
7/15/2019 14:15,6.04,123,215,1,123.5,123.5,,,,,,
7/15/2019 14:15,6.04,124,216,1,124,124,,,,,,
7/15/2019 14:15,6.04,124,217,1,123.5,123.5,,,,,,
7/15/2019 14:15,6.04,123,218,1,123,123,,,,,,
7/15/2019 14:15,6.04,123,219,1,123,123,,,,,,
7/15/2019 14:15,6.04,123,220,1,123,123,,,,,,
7/15/2019 14:15,6.04,123,221,1,123,123,,,,,,
7/15/2019 14:15,6.04,123,222,1,123,123,,,,,,
7/15/2019 14:15,6.04,123,223,1,123,123,,,,,,
7/15/2019 14:15,6.04,123,224,1,123,123,,,,,,
7/15/2019 14:15,6.04,123,225,1,123,123,,,,,,
7/15/2019 14:15,6.04,123,226,1,123,123,,,,,,
7/15/2019 14:15,6.04,123,227,1,123.5,123.5,,,,,,
7/15/2019 14:15,6.04,124,228,1,124,124,,,,,,
7/15/2019 14:15,6.04,124,229,1,124,124,,,,,,
7/15/2019 14:15,6.04,124,230,1,124,124,,,,,,
7/15/2019 14:15,6.04,124,231,1,124,124,,,,,,
7/15/2019 14:15,6.04,124,232,1,124,124,,,,,,
7/15/2019 14:15,6.04,124,233,1,124,124,,,,,,
7/15/2019 14:15,6.04,124,234,1,124,124,,,,,,
7/15/2019 14:15,6.04,124,235,1,124,124,,,,,,
7/15/2019 14:15,6.04,124,236,1,124,124,,,,,,
7/15/2019 14:15,6.04,124,237,1,124,124,,,,,,
7/15/2019 14:15,6.04,124,238,1,124,124,,,,,,
7/15/2019 14:15,6.04,124,239,1,124,124,,,,,,
7/15/2019 14:15,6.04,124,240,1,124,124,,,,,,
7/15/2019 14:15,6.04,124,241,1,124,124,,,,,,
7/15/2019 14:15,6.04,124,242,1,124,124,,,,,,
7/15/2019 14:15,6.04,124,243,1,124,124,,,,,,
7/15/2019 14:15,6.04,124,244,1,124,124,,,,,,
7/15/2019 14:15,6.04,124,245,1,124,124,,,,,,
7/15/2019 14:15,6.04,124,246,1,124,124,,,,,,
7/15/2019 14:15,6.04,124,247,1,124,124,,,,,,
7/15/2019 14:15,6.04,124,248,1,124.5,124.5,,,,,,
7/15/2019 14:15,6.04,125,249,1,125,125,,,,,,
7/15/2019 14:15,6.04,125,250,1,125,125,,,,,,
7/15/2019 14:15,6.04,125,251,1,125,125,,,,,,
7/15/2019 14:15,6.04,125,252,1,125,125,,,,,,
7/15/2019 14:16,6.04,125,253,1,125,125,,,,,,
7/15/2019 14:16,6.04,125,254,1,125,125,,,,,,
7/15/2019 14:16,6.04,125,255,1,125,125,,,,,,
7/15/2019 14:16,6.04,125,256,1,125,125,,,,,,
7/15/2019 14:16,6.04,125,257,1,125,125,,,,,,
7/15/2019 14:16,6.04,125,258,1,125,125,,,,,,
7/15/2019 14:16,6.04,125,259,1,125,125,,,,,,
7/15/2019 14:16,6.04,125,260,1,125,125,,,,,,
7/15/2019 14:16,6.04,125,261,1,125,125,,,,,,
7/15/2019 14:16,6.04,125,262,1,125,125,,,,,,
7/15/2019 14:16,6.04,125,263,1,125,125,,,,,,
7/15/2019 14:16,6.04,125,264,1,125,125,,,,,,
7/15/2019 14:16,6.04,125,265,1,125,125,,,,,,
7/15/2019 14:16,6.04,125,266,1,125,125,,,,,,
7/15/2019 14:16,6.04,125,267,1,125,125,,,,,,
7/15/2019 14:16,6.04,125,268,1,125,125,,,,,,
7/15/2019 14:16,6.05,125,269,1,125,125,,,,,,
7/15/2019 14:16,6.05,125,270,1,125,125,,,,,,
7/15/2019 14:16,6.05,125,271,1,125,125,,,,,,
