Date Time,Temp,SpCond,,,,,,,R int- 49140
M/D/Y HH:MM:SS,C,uS,Hgt Trap,Sum,,,,,
7/22/2019 16:52,9.91,113,113,,,,,,
7/22/2019 16:52,9.91,113,113,,,,,,
7/22/2019 16:52,9.91,113,113,,,,,,
7/22/2019 16:52,9.91,113,113,,,,,,
7/22/2019 16:52,9.91,113,113,,,,,,
7/22/2019 16:52,9.91,113,113,,,,,,
7/22/2019 16:52,9.91,113,113,,,,,,
7/22/2019 16:52,9.91,113,113,,,,,,
7/22/2019 16:53,9.91,113,113,,,,,,
7/22/2019 16:53,9.91,113,113,,,,,,
7/22/2019 16:53,9.91,113,113,,,,,,
7/22/2019 16:53,9.91,113,113,,,,,,
7/22/2019 16:53,9.91,113,113,,,,,,
7/22/2019 16:53,9.91,113,113,,,,,,
7/22/2019 16:53,9.91,113,113,,,,,,
7/22/2019 16:53,9.91,113,113,,,,,,
7/22/2019 16:53,9.91,113,113,,,,,,
7/22/2019 16:53,9.91,113,112.5,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,112.5,,,,,,
7/22/2019 16:53,9.91,113,113,,,,,,
7/22/2019 16:53,9.91,113,113,,,,,,
7/22/2019 16:53,9.91,113,113,,,,,,
7/22/2019 16:53,9.91,113,112.5,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,112,,,,,,
7/22/2019 16:53,9.91,112,111.5,,,,,,
7/22/2019 16:53,9.91,111,111,,,,,,
7/22/2019 16:53,9.91,111,111,,,,,,
7/22/2019 16:53,9.91,111,111,,,,,,
7/22/2019 16:53,9.91,111,111,,,,,,
7/22/2019 16:53,9.91,111,111,,,,,,
7/22/2019 16:53,9.91,111,111,,,,,,
7/22/2019 16:53,9.91,111,110.5,,,,,,
7/22/2019 16:54,9.91,110,110,,,,,,
7/22/2019 16:54,9.91,110,110,,,,,,
7/22/2019 16:54,9.91,110,110,,,,,,
7/22/2019 16:54,9.91,110,110,,,,,,
7/22/2019 16:54,9.92,110,110,,,,,,
7/22/2019 16:54,9.92,110,110,,,,,,
