"","DateTime","Inj","V1","V2","V3","V4","V4_adjusted"
"114",2019-07-10 21:00:00,"No",2040,2015,1397.5,1620.41398037524,1620.41398037524
"115",2019-07-10 21:05:00,"No",NA,NA,NA,NA,NA
"116",2019-07-10 21:10:00,"No",NA,NA,NA,NA,NA
"117",2019-07-10 21:15:00,"No",2070,2045,1477.5,1652.38589115385,1652.38589115385
"118",2019-07-10 21:20:00,"No",NA,NA,NA,NA,NA
"119",2019-07-10 21:25:00,"No",NA,NA,NA,NA,NA
"120",2019-07-10 21:30:00,"No",2100,2075,1497.5,1636.39993576454,1636.39993576454
"121",2019-07-10 21:35:00,"No",NA,NA,NA,NA,NA
"122",2019-07-10 21:40:00,"No",NA,NA,NA,NA,NA
"123",2019-07-10 21:45:00,"No",2125,2090,1527.5,1636.39993576454,1636.39993576454
"124",2019-07-10 21:50:00,"No",NA,NA,NA,NA,NA
"125",2019-07-10 21:55:00,"No",NA,NA,NA,NA,NA
"126",2019-07-10 22:00:00,"No",2145,2115,1522.5,1652.38589115385,1652.38589115385
"127",2019-07-10 22:05:00,"No",NA,NA,NA,NA,NA
"128",2019-07-10 22:10:00,"No",NA,NA,NA,NA,NA
"129",2019-07-10 22:15:00,"No",2180,2125,1517.5,1652.38589115385,1652.38589115385
"130",2019-07-10 22:20:00,"No",NA,NA,NA,NA,NA
"131",2019-07-10 22:25:00,"No",NA,NA,NA,NA,NA
"132",2019-07-10 22:30:00,"No",2190,2165,1517.5,1668.37184654315,1668.37184654315
"133",2019-07-10 22:35:00,"No",NA,NA,NA,NA,NA
"134",2019-07-10 22:40:00,"No",NA,NA,NA,NA,NA
"135",2019-07-10 22:45:00,"No",2185,2190,1532.5,1668.37184654315,1668.37184654315
"136",2019-07-10 22:50:00,"No",NA,NA,NA,NA,NA
"137",2019-07-10 22:55:00,"No",NA,NA,NA,NA,NA
"138",2019-07-10 23:00:00,"No",2230,2200,1582.5,1684.35780193245,1684.35780193245
"139",2019-07-10 23:05:00,"No",NA,NA,NA,NA,NA
"140",2019-07-10 23:10:00,"No",NA,NA,NA,NA,NA
"141",2019-07-10 23:15:00,"No",2245,2220,1567.5,1652.38589115385,1652.38589115385
"142",2019-07-10 23:20:00,"No",NA,NA,NA,NA,NA
"143",2019-07-10 23:25:00,"No",NA,NA,NA,NA,NA
"144",2019-07-10 23:30:00,"No",2255,2215,1602.5,1684.35780193245,1684.35780193245
"145",2019-07-10 23:35:00,"No",NA,NA,NA,NA,NA
"146",2019-07-10 23:40:00,"No",NA,NA,NA,NA,NA
"147",2019-07-10 23:45:00,"No",2270,2250,1662.5,1700.34375732175,1700.34375732175
"148",2019-07-10 23:50:00,"No",NA,NA,NA,NA,NA
"149",2019-07-10 23:55:00,"No",NA,NA,NA,NA,NA
"150",2019-07-11 00:00:00,"No",2290,2245,1637.5,1700.34375732175,1700.34375732175
"151",2019-07-11 00:05:00,"No",NA,NA,NA,NA,NA
"152",2019-07-11 00:10:00,"No",NA,NA,NA,NA,NA
"153",2019-07-11 00:15:00,"No",2320,2265,1707.5,1732.31566810035,1732.31566810035
"154",2019-07-11 00:20:00,"No",NA,NA,NA,NA,NA
"155",2019-07-11 00:25:00,"No",NA,NA,NA,NA,NA
"156",2019-07-11 00:30:00,"No",2330,2290,1652.5,1716.32971271105,1716.32971271105
"157",2019-07-11 00:35:00,"No",NA,NA,NA,NA,NA
"158",2019-07-11 00:40:00,"No",NA,NA,NA,NA,NA
"159",2019-07-11 00:45:00,"No",2355,2300,1687.5,1716.32971271105,1716.32971271105
"160",2019-07-11 00:50:00,"No",NA,NA,NA,NA,NA
"161",2019-07-11 00:55:00,"No",NA,NA,NA,NA,NA
"162",2019-07-11 01:00:00,"No",2380,2315,1732.5,1796.25948965756,1796.25948965756
"163",2019-07-11 01:05:00,"No",NA,NA,NA,NA,NA
"164",2019-07-11 01:10:00,"No",NA,NA,NA,NA,NA
"165",2019-07-11 01:15:00,"No",2390,2355,1747.5,1764.28757887895,1764.28757887895
"166",2019-07-11 01:20:00,"No",NA,NA,NA,NA,NA
"167",2019-07-11 01:25:00,"No",NA,NA,NA,NA,NA
"168",2019-07-11 01:30:00,"No",2410,2355,1782.5,1732.31566810035,1732.31566810035
"169",2019-07-11 01:35:00,"No",NA,NA,NA,NA,NA
"170",2019-07-11 01:40:00,"No",NA,NA,NA,NA,NA
"171",2019-07-11 01:45:00,"No",2415,2360,1737.5,1764.28757887895,1764.28757887895
"172",2019-07-11 01:50:00,"No",NA,NA,NA,NA,NA
"173",2019-07-11 01:55:00,"No",NA,NA,NA,NA,NA
