"Plot Title: EC Logger 2"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636127, SEN S/N: 20636127)","Temp, °C (LGR S/N: 20636127, SEN S/N: 20636127)","Coupler Detached (LGR S/N: 20636127)","Coupler Attached (LGR S/N: 20636127)","Host Connected (LGR S/N: 20636127)","Stopped (LGR S/N: 20636127)","End Of File (LGR S/N: 20636127)"
183,07/15/19 11:32:23 AM,7.4,5.47,,,,,
184,07/15/19 11:32:24 AM,7.4,5.47,,,,,
185,07/15/19 11:32:25 AM,6.7,5.46,,,,,
186,07/15/19 11:32:26 AM,7.4,5.47,,,,,
187,07/15/19 11:32:27 AM,7.4,5.46,,,,,
188,07/15/19 11:32:28 AM,7.4,5.46,,,,,
189,07/15/19 11:32:29 AM,7.4,5.47,,,,,
190,07/15/19 11:32:30 AM,7.4,5.46,,,,,
191,07/15/19 11:32:31 AM,7.4,5.47,,,,,
192,07/15/19 11:32:32 AM,7.4,5.47,,,,,
193,07/15/19 11:32:33 AM,7.4,5.47,,,,,
194,07/15/19 11:32:34 AM,6.7,5.47,,,,,
195,07/15/19 11:32:35 AM,7.4,5.47,,,,,
196,07/15/19 11:32:36 AM,7.4,5.47,,,,,
197,07/15/19 11:32:37 AM,7.4,5.47,,,,,
198,07/15/19 11:32:38 AM,7.4,5.46,,,,,
199,07/15/19 11:32:39 AM,7.8,5.47,,,,,
200,07/15/19 11:32:40 AM,7.4,5.47,,,,,
201,07/15/19 11:32:41 AM,7.4,5.46,,,,,
202,07/15/19 11:32:42 AM,7.4,5.47,,,,,
203,07/15/19 11:32:43 AM,7.4,5.47,,,,,
204,07/15/19 11:32:44 AM,7.4,5.47,,,,,
205,07/15/19 11:32:45 AM,7.4,5.46,,,,,
206,07/15/19 11:32:46 AM,7.4,5.46,,,,,
207,07/15/19 11:32:47 AM,6.7,5.46,,,,,
208,07/15/19 11:32:48 AM,7.4,5.46,,,,,
209,07/15/19 11:32:49 AM,7.4,5.46,,,,,
210,07/15/19 11:32:50 AM,7.4,5.47,,,,,
211,07/15/19 11:32:51 AM,7.8,5.46,,,,,
