Plot Title: EC1								
#	"Date Time, GMT-05:00"	"Full Range, ?S/cm (LGR S/N: 20636125, SEN S/N: 20636125)"	"Temp, °C (LGR S/N: 20636125, SEN S/N: 20636125)"	"Specific Conductance, ?S/cm (LGR S/N: 20636125)"	Coupler Detached (LGR S/N: 20636125)	Coupler Attached (LGR S/N: 20636125)	Host Connected (LGR S/N: 20636125)	End Of File (LGR S/N: 20636125)
252	7/19/2019 2:15	7	6.57	11				
253	7/19/2019 2:30	7	6.53	11				
254	7/19/2019 2:45	7	6.51	11				
255	7/19/2019 3:00	7	6.48	11				
256	7/19/2019 3:15	7	6.43	11				
257	7/19/2019 3:30	7	6.39	11.1				
258	7/19/2019 3:45	7	6.34	11.1				
259	7/19/2019 4:00	7	6.28	11.1				
260	7/19/2019 4:15	7	6.19	11.1				
261	7/19/2019 4:30	7	6.03	11.2				
262	7/19/2019 4:45	7	5.81	11.2				
263	7/19/2019 5:00	7	5.65	11.3				
264	7/19/2019 5:15	7.7	5.54	12.5				
265	7/19/2019 5:30	7	5.42	11.4				
266	7/19/2019 5:45	7	5.29	11.4				
267	7/19/2019 6:00	7	5.24	11.4				
268	7/19/2019 6:15	7	5.24	11.4				
269	7/19/2019 6:30	7	5.24	11.4				
270	7/19/2019 6:45	7	5.25	11.4				
271	7/19/2019 7:00	7	5.26	11.4				
272	7/19/2019 7:15	7	5.29	11.4				
273	7/19/2019 7:30	7	5.32	11.4				
274	7/19/2019 7:45	7	5.36	11.4				
275	7/19/2019 8:00	7	5.4	11.4				
276	7/19/2019 8:15	7	5.46	11.4				
277	7/19/2019 8:30	7	5.53	11.3				
278	7/19/2019 8:45	7	5.59	11.3				
279	7/19/2019 9:00	7	5.67	11.3				
280	7/19/2019 9:15	7	5.93	11.2				
281	7/19/2019 9:30	7	6.11	11.1				
282	7/19/2019 9:45	7	6.46	11				
283	7/19/2019 10:00	7	6.65	11				
284	7/19/2019 10:15	7	6.84	10.9				
285	7/19/2019 10:30	7	6.96	10.9				
286	7/19/2019 10:45	7	7.06	10.8				
287	7/19/2019 11:00	7	7.21	10.8				
288	7/19/2019 11:15	7	7.55	10.7				
289	7/19/2019 11:30	7	7.69	10.7				
290	7/19/2019 11:45	7	7.73	10.6				
291	7/19/2019 12:00	7	7.81	10.6				
292	7/19/2019 12:15	7	8.42	10.4				
293	7/19/2019 12:30	7	8.71	10.4				
294	7/19/2019 12:45	7	8.88	10.3				
295	7/19/2019 13:00	7	9.2	10.2				
296	7/19/2019 13:15	7	9.37	10.2				
297	7/19/2019 13:30	7.7	9.63	11.1				
298	7/19/2019 13:45	6.9	9.65	9.9				
299	7/19/2019 14:00	6.9	9.75	9.9				
300	7/19/2019 14:15	6.9	10	9.9				
301	7/19/2019 14:26					Logged		
302	7/19/2019 14:26						Logged	
303	7/19/2019 14:27				Logged			
304	7/19/2019 14:30	6.9	10.16	9.8				
305	7/19/2019 14:45	7.7	10.03	11				
306	7/19/2019 15:00	6.9	9.85	9.9				
307	7/19/2019 15:15	7.7	9.66	11.1				
308	7/19/2019 15:30	6.9	9.59	10				
309	7/19/2019 15:45	6.9	9.53	10				
310	7/19/2019 16:00	7	9.37	10.2				
311	7/19/2019 16:15	7	9.24	10.2				
312	7/19/2019 16:30	7	9.14	10.2				
313	7/19/2019 16:45	7	8.98	10.3				
314	7/19/2019 17:00	7	8.87	10.3				
315	7/19/2019 17:15	7.7	8.68	11.4				
316	7/19/2019 17:30	7	8.53	10.4				
317	7/19/2019 17:45	7	8.39	10.4				
318	7/19/2019 18:00	7	8.27	10.5				
319	7/19/2019 18:15	7	8.11	10.5				
320	7/19/2019 18:30	7	7.97	10.6				
321	7/19/2019 18:45	7	7.83	10.6				
322	7/19/2019 19:00	7	7.73	10.6				
323	7/19/2019 19:15	7	7.63	10.7				
324	7/19/2019 19:30	7	7.53	10.7				
325	7/19/2019 19:45	7.7	7.45	11.8				
326	7/19/2019 20:00	7	7.37	10.7				
327	7/19/2019 20:15	7	7.28	10.8				
328	7/19/2019 20:30	7	7.2	10.8				
329	7/19/2019 20:45	7	7.14	10.8				
330	7/19/2019 21:00	7	7.08	10.8				
331	7/19/2019 21:15	7	7.02	10.9				
332	7/19/2019 21:30	7	6.98	10.9				
333	7/19/2019 21:45	7	6.96	10.9				
334	7/19/2019 22:00	7	6.92	10.9				
335	7/19/2019 22:15	7	6.87	10.9				
336	7/19/2019 22:30	7	6.84	10.9				
337	7/19/2019 22:45	7.7	6.77	12				
338	7/19/2019 23:00	7.7	6.73	12				
339	7/19/2019 23:15	7	6.67	11				
340	7/19/2019 23:30	7	6.61	11				
341	7/19/2019 23:45	7	6.53	11				
342	7/20/2019 0:00	7.7	6.48	12.1				
343	7/20/2019 0:15	7	6.46	11				
344	7/20/2019 0:30	7.7	6.42	12.1				
345	7/20/2019 0:45	7	6.35	11.1				
346	7/20/2019 1:00	7	6.32	11.1				
347	7/20/2019 1:15	7	6.28	11.1				
348	7/20/2019 1:30	7	6.24	11.1				
349	7/20/2019 1:45	7	6.22	11.1				
350	7/20/2019 2:00	7	6.18	11.1				
351	7/20/2019 2:15	7	6.14	11.1				
352	7/20/2019 2:30	7	6.08	11.2				
