Plot Title: EC Logger 2								
#	"Date Time, GMT-05:00"	"Full Range, ?S/cm (LGR S/N: 20636127, SEN S/N: 20636127)"	"Temp, °C (LGR S/N: 20636127, SEN S/N: 20636127)"	Coupler Detached (LGR S/N: 20636127)	Coupler Attached (LGR S/N: 20636127)	Host Connected (LGR S/N: 20636127)	Stopped (LGR S/N: 20636127)	End Of File (LGR S/N: 20636127)
184	7/14/2019 14:45	7	7.09					
185	7/14/2019 15:00	7	7.16					
186	7/14/2019 15:15	7	7.2					
187	7/14/2019 15:30	7	7.15					
188	7/14/2019 15:45	7	7.08					
189	7/14/2019 16:00	7	7.05					
190	7/14/2019 16:15	7	6.97					
191	7/14/2019 16:30	7.8	6.94					
192	7/14/2019 16:45	7	6.9					
193	7/14/2019 17:00	7	6.83					
194	7/14/2019 17:15	7	6.76					
195	7/14/2019 17:30	7.8	6.7					
196	7/14/2019 17:45	7	6.61					
197	7/14/2019 18:00	7	6.45					
198	7/14/2019 18:15	7	6.36					
199	7/14/2019 18:30	7	6.32					
200	7/14/2019 18:45	7	6.21					
201	7/14/2019 19:00	7	6.16					
202	7/14/2019 19:15	7	6.08					
203	7/14/2019 19:30	7	6					
204	7/14/2019 19:45	7	5.92					
205	7/14/2019 20:00	7	5.88					
206	7/14/2019 20:15	7	5.83					
207	7/14/2019 20:30	7.8	5.8					
208	7/14/2019 20:45	7.8	5.76					
209	7/14/2019 21:00	7	5.71					
210	7/14/2019 21:15	7.8	5.66					
211	7/14/2019 21:30	7.8	5.61					
212	7/14/2019 21:45	7	5.58					
213	7/14/2019 22:00	7.8	5.53					
214	7/14/2019 22:15	7.8	5.49					
215	7/14/2019 22:30	7	5.46					
216	7/14/2019 22:45	7	5.38					
217	7/14/2019 23:00	7	5.34					
218	7/14/2019 23:15	7	5.33					
219	7/14/2019 23:30	7	5.3					
220	7/14/2019 23:45	7	5.26					
221	7/15/2019 0:00	7	5.24					
222	7/15/2019 0:15	7	5.2					
223	7/15/2019 0:30	7.8	5.16					
224	7/15/2019 0:45	7.1	5.12					
225	7/15/2019 1:00	7.1	5.03					
226	7/15/2019 1:15	7.1	4.95					
227	7/15/2019 1:30	7.8	4.94					
228	7/15/2019 1:45	7.1	4.92					
229	7/15/2019 2:00	7.1	4.91					
230	7/15/2019 2:15	7.1	4.83					
231	7/15/2019 2:30	7.1	4.82					
232	7/15/2019 2:45	7.1	4.8					
233	7/15/2019 3:00	7.8	4.79					
234	7/15/2019 3:15	7.1	4.69					
235	7/15/2019 3:30	7.1	4.57					
236	7/15/2019 3:45	7.1	4.58					
237	7/15/2019 4:00	7.1	4.58					
238	7/15/2019 4:15	7.1	4.55					
239	7/15/2019 4:30	7.1	4.55					
240	7/15/2019 4:45	7.1	4.55					
241	7/15/2019 5:00	7.1	4.5					
242	7/15/2019 5:15	7.1	4.46					
243	7/15/2019 5:30	7.1	4.41					
244	7/15/2019 5:45	7.1	4.36					
245	7/15/2019 6:00	7.1	4.3					
246	7/15/2019 6:15	7.1	4.28					
247	7/15/2019 6:30	7.1	4.28					
248	7/15/2019 6:45	7.1	4.26					
249	7/15/2019 7:00	7.1	4.3					
250	7/15/2019 7:15	7.1	4.3					
251	7/15/2019 7:30	7.1	4.34					
252	7/15/2019 7:45	7.1	4.38					
253	7/15/2019 8:00	7.4	4.41					
254	7/15/2019 8:15	7.1	4.44					
255	7/15/2019 8:30	7.1	4.5					
256	7/15/2019 8:45	7.1	4.58					
257	7/15/2019 9:00	7.1	4.76					
258	7/15/2019 9:15	7.1	4.86					
259	7/15/2019 9:30	7.1	4.95					
260	7/15/2019 9:45	7.4	4.94					
261	7/15/2019 10:00	7.4	5					
262	7/15/2019 10:15	7.4	4.96					
263	7/15/2019 10:30	7.4	5.04					
264	7/15/2019 10:45	7.4	5.04					
265	7/15/2019 11:00	7.4	5.21					
266	7/15/2019 11:15	7.4	5.32					
267	7/15/2019 11:27				Logged			
268	7/15/2019 11:27					Logged		
269	7/15/2019 11:28						Logged	Logged
