"Plot Title: EC 3"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636126, SEN S/N: 20636126, LBL: Conductivity)","Temp, °C (LGR S/N: 20636126, SEN S/N: 20636126)","Coupler Detached (LGR S/N: 20636126)","Coupler Attached (LGR S/N: 20636126)","Host Connected (LGR S/N: 20636126)","Stopped (LGR S/N: 20636126)","End Of File (LGR S/N: 20636126)"
205,07/12/19 04:24:00 PM,7.4,13.02,,,,,
206,07/12/19 04:25:00 PM,7.4,13.00,,,,,
207,07/12/19 04:26:00 PM,7.4,13.00,,,,,
208,07/12/19 04:27:00 PM,7.4,12.99,,,,,
209,07/12/19 04:28:00 PM,7.4,12.98,,,,,
210,07/12/19 04:29:00 PM,7.4,12.98,,,,,
211,07/12/19 04:30:00 PM,7.4,12.96,,,,,
212,07/12/19 04:31:00 PM,7.4,12.96,,,,,
213,07/12/19 04:32:00 PM,7.4,12.95,,,,,
214,07/12/19 04:33:00 PM,7.4,12.94,,,,,
215,07/12/19 04:34:00 PM,7.4,12.92,,,,,
216,07/12/19 04:35:00 PM,7.4,12.92,,,,,
217,07/12/19 04:36:00 PM,7.4,12.91,,,,,
218,07/12/19 04:37:00 PM,1.4,12.24,,,,,
219,07/12/19 04:37:01 PM,,,,Logged,,,
220,07/12/19 04:37:13 PM,,,,,Logged,,
221,07/12/19 04:37:21 PM,,,,,,Logged,Logged
