DateTime,airTemp_c
7/1/2019 22:30,4.793584
7/1/2019 22:35,4.909186
7/1/2019 22:40,4.946975
7/1/2019 22:45,4.963322
7/1/2019 22:50,5.097201
7/1/2019 22:55,5.078282
7/1/2019 23:00,5.11256
7/1/2019 23:05,5.148596
7/1/2019 23:10,5.146784
7/1/2019 23:15,5.170047
7/1/2019 23:20,5.176505
7/1/2019 23:25,5.193347
7/1/2019 23:30,5.244296
7/1/2019 23:35,5.237887
7/1/2019 23:40,5.300622
7/1/2019 23:45,5.271942
7/1/2019 23:50,5.278488
7/1/2019 23:55,5.223637
7/2/2019 0:00,5.215843
7/2/2019 0:05,5.173033
7/2/2019 0:10,5.128791
7/2/2019 0:15,5.111437
7/2/2019 0:20,5.173609
7/2/2019 0:25,5.194993
7/2/2019 0:30,5.144679
7/2/2019 0:35,5.097542
7/2/2019 0:40,5.104062
7/2/2019 0:45,5.11251
7/2/2019 0:50,5.107041
7/2/2019 0:55,5.120481
7/2/2019 1:00,5.101728
7/2/2019 1:05,5.092282
7/2/2019 1:10,5.077148
7/2/2019 1:15,5.070989
7/2/2019 1:20,5.015153
7/2/2019 1:25,4.954787
7/2/2019 1:30,4.892645
7/2/2019 1:35,4.993791
7/2/2019 1:40,5.037233
7/2/2019 1:45,5.008444
7/2/2019 1:50,5.003717
7/2/2019 1:55,4.9719
7/2/2019 2:00,4.934437
7/2/2019 2:05,4.901443
7/2/2019 2:10,4.881251
7/2/2019 2:15,4.860437
7/2/2019 2:20,4.849014
7/2/2019 2:25,4.890608
7/2/2019 2:30,4.977332
7/2/2019 2:35,4.988584
7/2/2019 2:40,4.97975
7/2/2019 2:45,4.954321
7/2/2019 2:50,4.961676
7/2/2019 2:55,4.943582
7/2/2019 3:00,4.93878
7/2/2019 3:05,4.921382
7/2/2019 3:10,4.97745
7/2/2019 3:15,4.961084
7/2/2019 3:20,4.92589
7/2/2019 3:25,4.957563
7/2/2019 3:30,4.988729
7/2/2019 3:35,4.947206
7/2/2019 3:40,4.905051
7/2/2019 3:45,4.877779
7/2/2019 3:50,4.890294
7/2/2019 3:55,4.935956
7/2/2019 4:00,4.936988
7/2/2019 4:05,4.927236
7/2/2019 4:10,4.905369
7/2/2019 4:15,4.867278
7/2/2019 4:20,4.824315
7/2/2019 4:25,4.851922
7/2/2019 4:30,4.860013
7/2/2019 4:35,4.875428
7/2/2019 4:40,4.891522
7/2/2019 4:45,4.931517
7/2/2019 4:50,4.92597
7/2/2019 4:55,4.946282
7/2/2019 5:00,4.955159
7/2/2019 5:05,4.970963
7/2/2019 5:10,4.936217
7/2/2019 5:15,4.89695
7/2/2019 5:20,4.889384
7/2/2019 5:25,4.869887
7/2/2019 5:30,4.87313
7/2/2019 5:35,4.876171
7/2/2019 5:40,4.866376
7/2/2019 5:45,4.871227
7/2/2019 5:50,4.888009
7/2/2019 5:55,4.878966
7/2/2019 6:00,4.899909
7/2/2019 6:05,4.870718
7/2/2019 6:10,4.889093
7/2/2019 6:15,4.886038
7/2/2019 6:20,4.876582
7/2/2019 6:25,4.888307
7/2/2019 6:30,4.926498
7/2/2019 6:35,4.95712
7/2/2019 6:40,5.032674
7/2/2019 6:45,5.101134
7/2/2019 6:50,5.095193
7/2/2019 6:55,5.115817
7/2/2019 7:00,5.154836
7/2/2019 7:05,5.222025
7/2/2019 7:10,5.245026
7/2/2019 7:15,5.233372
7/2/2019 7:20,5.322257
7/2/2019 7:25,5.367751
7/2/2019 7:30,5.407938
7/2/2019 7:35,5.418953
7/2/2019 7:40,5.419133
7/2/2019 7:45,5.345895
7/2/2019 7:50,5.281224
7/2/2019 7:55,5.261336
7/2/2019 8:00,5.26186
7/2/2019 8:05,5.307033
7/2/2019 8:10,5.292858
7/2/2019 8:15,5.370486
7/2/2019 8:20,5.378062
7/2/2019 8:25,5.415081
7/2/2019 8:30,5.494697
7/2/2019 8:35,5.478683
7/2/2019 8:40,5.609086
7/2/2019 8:45,5.604257
7/2/2019 8:50,5.658391
7/2/2019 8:55,5.667446
7/2/2019 9:00,5.856889
7/2/2019 9:05,5.87636
7/2/2019 9:10,5.753475
7/2/2019 9:15,5.937587
7/2/2019 9:20,6.011543
7/2/2019 9:25,6.110314
7/2/2019 9:30,6.11197
7/2/2019 9:35,6.446583
7/2/2019 9:40,6.546432
7/2/2019 9:45,6.605841
7/2/2019 9:50,6.883366
7/2/2019 9:55,6.458288
7/2/2019 10:00,6.345468
7/2/2019 10:05,6.640142
7/2/2019 10:10,6.622899
7/2/2019 10:15,6.666131
7/2/2019 10:20,6.711565
7/2/2019 10:25,6.848956
7/2/2019 10:30,6.744348
7/2/2019 10:35,6.583938
7/2/2019 10:40,6.531336
7/2/2019 10:45,6.527344
7/2/2019 10:50,6.527847
7/2/2019 10:55,6.507457
7/2/2019 11:00,6.511412
7/2/2019 11:05,6.512265
7/2/2019 11:10,6.559488
7/2/2019 11:15,6.553686
7/2/2019 11:20,6.562093
7/2/2019 11:25,6.656657
7/2/2019 11:30,6.891401
7/2/2019 11:35,7.008421
7/2/2019 11:40,7.396307
7/2/2019 11:45,7.610412
7/2/2019 11:50,7.791586
7/2/2019 11:55,7.667376
7/2/2019 12:00,7.619937
7/2/2019 12:05,7.911563
7/2/2019 12:10,8.126032
7/2/2019 12:15,8.201009
7/2/2019 12:20,8.204088
7/2/2019 12:25,7.761844
7/2/2019 12:30,7.543178
7/2/2019 12:35,7.118136
7/2/2019 12:40,6.967983
7/2/2019 12:45,6.875249
7/2/2019 12:50,6.762545
7/2/2019 12:55,6.767156
7/2/2019 13:00,7.000903
7/2/2019 13:05,7.354483
7/2/2019 13:10,7.602555
7/2/2019 13:15,7.744533
7/2/2019 13:20,7.820084
7/2/2019 13:25,7.810077
7/2/2019 13:30,7.936799
7/2/2019 13:35,7.793375
7/2/2019 13:40,7.422471
7/2/2019 13:45,7.299281
7/2/2019 13:50,7.358865
7/2/2019 13:55,7.45945
7/2/2019 14:00,8.076926
7/2/2019 14:05,8.184112
7/2/2019 14:10,8.345376
7/2/2019 14:15,8.497514
7/2/2019 14:20,8.081968
7/2/2019 14:25,7.992898
7/2/2019 14:30,7.922118
7/2/2019 14:35,8.25521
7/2/2019 14:40,8.083438
7/2/2019 14:45,8.291855
7/2/2019 14:50,8.104083
7/2/2019 14:55,7.957538
7/2/2019 15:00,8.172153
7/2/2019 15:05,8.046601
7/2/2019 15:10,8.070451
7/2/2019 15:15,8.166863
7/2/2019 15:20,8.1026
7/2/2019 15:25,8.111785
7/2/2019 15:30,8.354774
7/2/2019 15:35,8.571316
7/2/2019 15:40,8.962912
7/2/2019 15:45,8.717456
7/2/2019 15:50,8.931826
7/2/2019 15:55,9.279861
7/2/2019 16:00,8.85042
7/2/2019 16:05,8.605599
7/2/2019 16:10,8.481948
7/2/2019 16:15,8.504776
7/2/2019 16:20,8.397012
7/2/2019 16:25,8.342687
7/2/2019 16:30,8.136616
7/2/2019 16:35,8.105759
7/2/2019 16:40,7.928902
7/2/2019 16:45,7.951539
7/2/2019 16:50,7.884007
7/2/2019 16:55,7.851831
7/2/2019 17:00,7.86679
7/2/2019 17:05,7.853387
7/2/2019 17:10,7.848184
7/2/2019 17:15,7.875635
7/2/2019 17:20,7.764148
7/2/2019 17:25,7.60122
7/2/2019 17:30,7.375053
7/2/2019 17:35,7.252941
7/2/2019 17:40,7.217524
7/2/2019 17:45,7.195962
7/2/2019 17:50,6.935515
7/2/2019 17:55,6.90055
7/2/2019 18:00,6.792147
7/2/2019 18:05,6.727612
7/2/2019 18:10,6.701869
7/2/2019 18:15,6.674489
7/2/2019 18:20,6.621781
7/2/2019 18:25,6.56026
7/2/2019 18:30,6.476501
7/2/2019 18:35,6.474675
7/2/2019 18:40,6.445399
7/2/2019 18:45,6.395197
7/2/2019 18:50,6.357355
7/2/2019 18:55,6.351657
7/2/2019 19:00,6.361702
7/2/2019 19:05,6.374337
7/2/2019 19:10,6.32397
7/2/2019 19:15,6.362249
7/2/2019 19:20,6.276862
7/2/2019 19:25,6.233435
7/2/2019 19:30,6.253459
7/2/2019 19:35,6.236697
7/2/2019 19:40,6.234278
7/2/2019 19:45,6.23298
7/2/2019 19:50,6.294919
7/2/2019 19:55,6.352243
7/2/2019 20:00,6.346968
7/2/2019 20:05,6.240291
7/2/2019 20:10,6.23011
7/2/2019 20:15,6.239853
7/2/2019 20:20,6.200608
7/2/2019 20:25,6.181017
7/2/2019 20:30,6.126043
7/2/2019 20:35,6.122905
7/2/2019 20:40,6.108976
7/2/2019 20:45,6.09834
7/2/2019 20:50,6.101906
7/2/2019 20:55,6.082269
7/2/2019 21:00,6.017209
7/2/2019 21:05,6.020752
7/2/2019 21:10,6.039945
7/2/2019 21:15,6.107667
7/2/2019 21:20,6.085601
7/2/2019 21:25,6.084492
7/2/2019 21:30,6.095076
7/2/2019 21:35,6.106974
7/2/2019 21:40,6.049632
7/2/2019 21:45,5.981973
7/2/2019 21:50,5.83194
7/2/2019 21:55,5.759536
7/2/2019 22:00,5.924018
7/2/2019 22:05,6.034328
7/2/2019 22:10,5.997214
7/2/2019 22:15,5.869323
7/2/2019 22:20,5.670532
7/2/2019 22:25,5.579501
7/2/2019 22:30,5.585549
